playerID,yearID,teamID,G,AB,H,2B,3B,HR,R,RBI,SB,CS,BB,SF,HBP
aaronha01,1954,ML1,122,468,131,27,6,13,58,69,2,2,28,4,3
aaronha01,1955,ML1,153,602,189,37,9,27,105,106,3,1,49,4,3
aaronha01,1956,ML1,153,609,200,34,14,26,106,92,2,4,37,7,2
aaronha01,1957,ML1,151,615,198,27,6,44,118,132,1,1,57,3,0
aaronha01,1958,ML1,153,601,196,34,4,30,109,95,4,1,59,3,1
aaronha01,1959,ML1,154,629,223,46,7,39,116,123,8,0,51,9,4
aaronha01,1960,ML1,153,590,172,20,11,40,102,126,16,7,60,12,2
aaronha01,1961,ML1,155,603,197,39,10,34,115,120,21,9,56,9,2
aaronha01,1962,ML1,156,592,191,28,6,45,127,128,15,7,66,6,3
aaronha01,1963,ML1,161,631,201,29,4,44,121,130,31,5,78,5,0
aaronha01,1964,ML1,145,570,187,30,2,24,103,95,22,4,62,2,0
aaronha01,1965,ML1,150,570,181,40,1,32,109,89,24,4,60,8,1
aaronha01,1966,ATL,158,603,168,23,1,44,117,127,21,3,76,8,1
aaronha01,1967,ATL,155,600,184,37,3,39,113,109,17,6,63,6,0
aaronha01,1968,ATL,160,606,174,33,4,29,84,86,28,5,64,5,1
aaronha01,1969,ATL,147,547,164,30,3,44,100,97,9,10,87,3,2
aaronha01,1970,ATL,150,516,154,26,1,38,103,118,9,0,74,6,2
aaronha01,1971,ATL,139,495,162,22,3,47,95,118,1,1,71,5,2
aaronha01,1972,ATL,129,449,119,10,0,34,75,77,4,0,92,2,1
aaronha01,1973,ATL,120,392,118,12,1,40,84,96,1,1,68,4,1
aaronha01,1974,ATL,112,340,91,16,0,20,47,69,1,0,39,2,0
aaronha01,1975,ML4,137,465,109,16,2,12,45,60,0,1,70,6,1
aaronha01,1976,ML4,85,271,62,8,0,10,22,35,0,1,35,2,0
aaronto01,1962,ML1,141,334,77,20,2,8,54,38,6,0,41,3,0
aaronto01,1963,ML1,72,135,27,6,1,1,6,15,0,3,11,2,0
aaronto01,1968,ATL,98,283,69,10,3,1,21,25,3,4,21,1,0
aaronto01,1969,ATL,49,60,15,2,0,1,13,5,0,1,6,0,0
aaronto01,1970,ATL,44,63,13,2,0,2,3,7,0,0,3,0,0
aaronto01,1971,ATL,25,53,12,2,0,0,4,3,0,0,3,0,0
abbotje01,1998,CHA,89,244,68,14,1,12,33,41,3,3,9,5,0
abbotje01,1999,CHA,17,57,9,0,0,2,5,6,1,1,5,1,0
abbotje01,2000,CHA,80,215,59,15,1,3,31,29,2,1,21,1,2
abbotku01,1993,OAK,20,61,15,1,0,3,11,9,2,0,3,0,0
abbotku01,1994,FLO,101,345,86,17,3,9,41,33,3,0,16,2,5
abbotku01,1995,FLO,120,420,107,18,7,17,60,60,4,3,36,5,5
abbotku01,1996,FLO,109,320,81,18,7,8,37,33,3,3,22,0,3
abbotku01,1997,FLO,94,252,69,18,2,6,35,30,3,1,14,0,1
abbotku01,1998,COL,42,71,18,6,0,3,9,15,0,0,2,2,1
abbotku01,1998,OAK,35,123,33,7,1,2,17,9,2,1,10,1,1
abbotku01,1999,COL,96,286,78,17,2,8,41,41,3,2,16,1,0
abbotku01,2000,NYN,79,157,34,7,1,6,22,12,1,1,14,1,1
abercre01,2006,FLO,111,255,54,12,2,5,39,24,6,5,18,1,3
abercre01,2007,FLO,35,76,15,3,0,2,16,5,7,1,2,0,2
abercre01,2008,HOU,34,55,17,5,0,2,10,5,5,2,1,1,2
abernbr01,2001,TBA,79,304,82,17,1,5,43,33,8,3,27,1,0
abernbr01,2002,TBA,117,463,112,18,4,2,46,40,10,4,25,2,6
abernbr01,2005,MIN,24,67,16,1,0,1,5,6,2,0,7,1,1
abnersh01,1988,SDN,37,83,15,3,0,2,6,5,0,1,4,1,1
abnersh01,1989,SDN,57,102,18,4,0,2,13,14,1,0,5,1,0
abnersh01,1990,SDN,91,184,45,9,0,1,17,15,2,3,9,1,2
abnersh01,1991,CAL,41,101,23,6,1,2,12,9,1,2,4,0,0
abnersh01,1991,SDN,53,115,19,4,1,1,15,5,0,0,7,1,1
abnersh01,1992,CHA,97,208,58,10,1,1,21,16,1,2,12,3,3
abramca01,1954,BAL,115,423,124,22,7,6,67,25,1,4,72,1,4
abramca01,1955,BAL,118,309,75,12,3,6,56,32,2,8,89,3,3
abramcj01,2022,SDN,46,125,29,5,0,2,16,11,1,2,4,2,6
abramcj01,2022,WAS,44,159,41,7,2,0,17,10,6,2,1,0,3
abramcj01,2023,WAS,151,563,138,28,6,18,83,64,47,4,32,3,13
abramcj01,2024,WAS,138,541,133,29,6,20,79,65,31,12,40,4,16
abreubo01,1997,HOU,59,188,47,10,2,3,22,26,7,2,21,0,1
abreubo01,1998,PHI,151,497,155,29,6,17,68,74,19,10,84,4,0
abreubo01,1999,PHI,152,546,183,35,11,20,118,93,27,9,109,4,3
abreubo01,2000,PHI,154,576,182,42,10,25,103,79,28,8,100,3,1
abreubo01,2001,PHI,162,588,170,48,4,31,118,110,36,14,106,9,1
abreubo01,2002,PHI,157,572,176,50,6,20,102,85,31,12,104,6,3
abreubo01,2003,PHI,158,577,173,35,1,20,99,101,22,9,109,7,2
abreubo01,2004,PHI,159,574,173,47,1,30,118,105,40,5,127,7,5
abreubo01,2005,PHI,162,588,168,37,1,24,104,102,31,9,117,8,6
abreubo01,2006,NYA,58,209,69,16,0,7,37,42,10,2,33,3,1
abreubo01,2006,PHI,98,339,94,25,2,8,61,65,20,4,91,6,2
abreubo01,2007,NYA,158,605,171,40,5,16,123,101,25,8,84,7,3
